id,sent0,sent1,label
4269,You want to eat the net,you want to surf the net,0
7033,There are countless suns in the sky,There is only one sun in the sky.,0
6310,The fishermen caught the fish in the lake.,The fishermen caught the monkey in the lake,1
4244,The bird was a hunter,Joe was a hunter,0
3466,She drove her house to the store,She drove her car to the store,0
2516,He put on his clothes for his bath.,He took off his clothes for his bath.,0
2168,I went for a run this morning in the microwave.,I went for a run this morning in the park.,0
3857,studying for a subject requires time and effort,studying for breathing requires time and effort,1
6729,Lions blood sucking,Mosquito blood sucking,0
9542,we listened carefully to what the teacher was thinking,we listened carefully to what the teacher was saying,0
4841,"The traffic light goes green, he have to stop","The traffic light goes red, he have to stop",0
9935,he reads newspapers at breakfast,he reads bread at breakfast,1
7688,There are flowers all over the park in winter,Flowers are in full bloom in the park in spring,0
587,The girl has severe blue skin in public.,The girl has severe anxiety in public.,0
7317,Tom was absent two days this week and the teacher was very angry for it,Tom was absent two days this week and the teacher was very happy for it,1
8140,A boat can float on water,A building can float on water,1
2614,"The first time I went to a concert, I saw a cucumber","The first time I went to a concert, I enjoyed the music",0
8072,We must cover cotton quilt in summer,We don't have to cover cotton quilt in summer,0
9923,the man drank water with his meal because his meal was delicious,the man drank water with his meal because his meal was spicy,0
4591,telephones can require electricity to work,Telephones can require water to work,1
7801,He put some salt in the soup to give it a better flavor.,He put some silt in the soup to give it a better flavour.,1
9058,jefferson forgot to shut up before he did some exercises,jefferson forgot to warm up before he did some exercises,0
44,The fish swam in the desert.,The fish swam in the ocean.,0
5070,The game handle is popular among music loving teenagers,The CD player is popular among music loving teenagers,0
3042,He ate a taco.,He ate a desk.,1
875,Children went to the zoo to see animals,Children went to the zoo to eat animals,1
8627,Dad shaved with papers,Dad shaves with a razor,0
7133,Children like to go to hospitals for treatment.,Children don't like to go to hospitals for treatment.,0
8919,they have to live in a mansion because of poverty,they have to live in a loft because of poverty,0
3487,She likes to ride fish.,She likes to ride horses.,0
4328,Sheila raised her tail,Sheila raised her hand,0
7402,Dishwasher brings us a lot of trouble,Dishwasher brings us convenience,0
61,He was tired and so he went to get into his car.,He was tired and so he went to get into his bed.,0
4111,The stone flew freely in the air.,The balloon flew freely in the air.,0
1862,He ate the bench.,He ate the icecream.,0
5930,I covered my quilt at the hotel,I washed up my quilt at the hotel,1
3372,I am going to the movie theater for a haircut.,I am going to the barbershop for a haircut.,0
2517,You go to the doctor if you get sick.,You go see a movie if you get sick.,1
9118,he posted a stamp on the letter,he printed a stamp on the letter,1
6919,He planted a tree.,He planted a cat.,1
4928,"If you want a wound to heal quickly, put it into the dirty water","If you want a wound to heal quickly, clean it up",0
642,An opera is a type of party,An opera is a type of entertainment,0
8784,USA is located in the northeastern part of New York,New York is located in the northeastern part of USA,0
344,A spaceship is a way to get from one side of a water way to another.,A tunnel is a way to get from one side of a water way to another.,0
5262,I buy popcorn and coke whenever I go to the cinema,I buy popcorn and knife whenever I go to the cinema,1
9695,I want to make an appointment for a facial next week,I want to make an appointment for a facial last week,1
7370,American people speak American,Japanese people speak Japanese,0
8696,He likes to travel on horseback.,He likes to travel by cat.,1
930,He ate ice cream for dessert.,He ate nails for dessert.,1
1002,The dog chased the cat.,The tree chased the cat.,1
5643,All baby bunnies had mummies that were bunnies.,All baby zebras had mummies that were bunnies.,1
3616,The piano was sick.,The girl was sick.,0
6617,Gloves protect the feet,Gloves protect hands,0
4042,The pilot is piloting his plane across the Atlantic,The pilot is piloting his bus across the Atlantic,1
8279,People must always read in the sun.,People can read in the sun.,0
9376,"if you don't know how to cook it, you can follow a recipe","if you don't know how to cook it, you can follow a menu",1
8910,children like flying kites in the spring,children like flying planes in the spring,1
3436,He parked the car on the roof,He parked the car on the parking lot,0
1802,The sausage was very spicy,The chair was very spicy,1
9751,you need to be careful of sharks when you swim in the swimming pool,you need to be careful of sharks when you swim in the ocean,0
3369,Computer work requires big muscles.,Jury duty requires judgement.,0
2606,He drove the car through the water.,He drove the car through the road.,0
5985,obesity is healthy for human,obesity is harmful for human,0
6472,Southerners like to eat rice.,Southerners like to eat noodles.,1
6436,Lumberjack cuts trees with an axe,Lumberjack cuts trees with tofu,1
4154,Plastic belong to insulator,Plastic belong to conductor,1
2834,He ate a bottle.,He ate a taco.,0
6767,Toothpaste cleans the mouth,Cold medicine cleans the mouth,1
7943,There is an ocean in the skyscraper,There cannot be an ocean in the skyscraper,0
3470,I packed a sandwich for lunch.,I packed a donkey for lunch.,1
9773,I'm waiting for a cloudy night to observe stars,I'm waiting for a clear night to observe stars,0
9442,I carried a spoon to eat soup,I carried a fork to eat soup,1
163,The sun shines bright in the day,The sun shines bright in the night,1
6004,children should separate from their parents in the crowd,children should stick with their parents in the crowd,0
9030,he ran out of cola while driving to work so he walked there,he ran out of gas while driving to work so he walked there,0
5013,The police gave the robber a head shot with a water gun,The police gave the robber a head shot with a rifle,0
7980,I put my hand in the hot oil,I put the vegetables in hot oil,0
7872,We are asking people to boycott the companies that use child labor.,We are asking people to support companies that use child labor.,1
7275,Motorcycle riders should wear a helmet,Motorcycle riders should wear hats,1
2182,She met her brother at a fancy restaurant.,She met her Tiger at a fancy restaurant.,1
9641,I sat in the trunk of the taxi with my girlfriend,I sat in the backseat of the taxi with my girlfriend,0
3902,A deaf man can sing.,A dumb man can sing.,1
4571,Lightning struck the sun,Lightning struck the tree,0
3284,I went to the doctor when I was sick.,I went to the doctor when I was healthy,1
3199,The plane landed in Seatac airport,The plane landed in Mars,1
337,A fan is a baby kangaroo,A joey is a baby kangaroo,0
6652,Mobile phones are moving tables,The students are moving tables,0
2921,Bicycles have square wheels.,Bicycles have round wheels.,0
9050,susan hung up the phone to wait for another call,susan disconnected the phone to wait for another call,1
8468,Light can bring us light.,The table can bring us light.,1
4121,my mother prond of me,my mother prond of me,0
5920,I took off my coat in the cold wind,I put up my coat in the cold wind,0
104,He drove his car to London,He drove his car to the moon,1
9786,I can lift gym equipment easily,I can lift the gym easily,1
7703,He baked a pizza in the fridge,He baked a pizza in the oven,0
5879,there are lots of pens in a book,there are lots of words in a book,0
736,He went to the grocery store to buy some fruits.,He went to the grocery store to buy a car.,1
7726,He slept with a pillow,He sleeps with a big tree in his arms,1
8321,A scarf is only a decorative article.,A scarf is a kind of warmth preservation,0
1670,I went to the park to do my Christmas shopping.,I went to the mall to do my Christmas shopping.,0
4443,restaurant can help people cure illness,hospital can help people cure illness,0
5973,he communicates with his remote father with his phone,he communicates with his remote father with his light bulb,1
1273,I went to market by my table.,I went to market by car.,0
6583,Toothpaste can be used to brush teeth.,Milk powder can be used to brush teeth.,1
924,You can find an organ in the church.,You can find an organ in the briefcase.,1
8391,The fresh cake tastes very delicious.,The fresh cake tastes terrible.,1
2249,The woman walked through the doorway,The woman walked through the keyhole,1
1177,"People sleep longer than cats, up to 20 hours per day.","Sloths sleep longer than cats, up to 20 hours per day.",0
889,My car is a sphere,Jupiter is a sphere,0
836,The dog flew inside the house,The dog ran inside the house,0
4419,Coke is made of alcohol.,Coke is made of syrup.,0
9920,fiona put the soup on ice cubes and it became thick,fiona put the soup on ice cubes and it cooled down,0
3898,The milk flowed from the tap,The purified water flowed from the tap,0
6125,the future is unpredictable,the future is predictable,1
3397,You are likely to find trees in a forest,You are likely to find buildings in a forest,1
1103,The sail blows the wind,Wind blows the sail,0
8174,Winter in Antarctica is warmer than that in Australia,Winter in Antarctica is colder than that in Australia,0
5909,"when one gets cold, he can take some stomach medicine","when one gets cold, he can take some anti-cold medicine",0
6578,Pilots drove the tank.,Pilots drove the plane.,0
557,You find wood in tears,You find water in tears,0
