id,sent0,sent1,label
7576,He hired a babysitter to look after the baby,He hired a lawyer to look after the baby,1
9753,"I can't afford the flight ticket from China to the US, so I decided to walk","I can't afford the flight ticket from China to the US, so I decided to take ship",0
8405,I look shorter in high heels.,I look taller in high heels.,0
6491,Rainbows come in seven colors.,Clouds come in seven colors.,1
9142,a canal was constructed next to the farmland for irrigation,a canal was constructed next to the farmland for flood,1
8242,You must get success if you work hard,You can get success if you work hard,0
177,she bought minecraft to play on her xbox,she bought minecraft to play netball with,1
5304,he is eating a huge volcano,he is painting a huge volcano,0
404,Four plus six equals ten,Ten plus six equals ten,1
8629,He had dinner in the morning,He had breakfast in the morning,0
5333,I come home from work at about 2 p.m. in the afternoon,I come home from work at about 9 p.m. in the afternoon,1
4275,My brother feeds glass to his cat everyday.,My brother feeds fish to his cat everyday.,0
6988,Recyclable garbage can be recycled and reused.,Harmful waste can be recycled and reused.,1
2246,I bake my pie in the oven,I bake my pie in the hoover,1
6771,Bullet-proof can block bullets,Cotton-padded clothes can block bullets,1
3814,The real Chinese food is dumpings.,The real Chinese food is dumplings.,0
4445,I always eat apples.,I never eat anything.,1
2896,He jumped on the water.,He jumped on his bed.,0
9824,People usually put curtains on the windows,People usually put curtains on the walls,1
886,I just talk with my mother by my Feet,I just talk with my mother by my mouth,0
4936,"If you want to keep warm, stay close to the fire","If you want to keep warm, stay close to the ice",1
1632,He is baking cake in the oven.,He is baking cake in the fridge.,1
7282,Peter lied and his mother punished him,Peter lied and his mother praised him,1
6913,We can brush our teeth with a mirror,We can brush our teeth with a toothbrush.,0
1715,I go to the museum to see my family,I go to the museum to bond with my family,0
6643,They are running in a race.,lamp is running in the race,1
9125,bees can understand each other's dancing,honey can understand each other's dancing,1
7521,The air in the room is bad so I close the window for ventilation,The air in the room is bad so I open the window for ventilation,0
4533,You may find an elephant in the forest,You may find an anteater in the forest,1
6419,He picked bamboo from the tree,He picked an apple from the tree,0
4082,Birds can fly.,Fish can fly.,1
5992,people speak to others in French in China,people speak to others in Chinese in China,0
4340,A judge can free a convict of jail time,A teacher can free a convict of jail time,1
