id,FalseSent,ref1,ref2,ref3
0,He poured orange juice on his cereal.,Orange juice doesn't taste good on cereal.,Orange juice is poured in a glass.,Orange juice does not taste good on cereal.
1,He drinks apple.,Apple can not be drunk,An apple is a whole food and unable to be drunk without being juiced.,He eats an apple
2,"Jeff ran 100,000 miles today","100,000 miles is way to long for one person to be able to run in one day.",This is not physically possible to achieve,"No way can someone run 100,000 miles in a day"
3,I sting a mosquito,A human has not stings,I do not have a stinger.,"mosquitos sting people, not the other way around"
4,A giraffe is a person.,A giraffe is not a human being.,"A giraffe is an animal, not human.",A giraffe is an animal.
5,A normal closet is larger than a walk-in closet.,A person cannot walk into a normal closet because it is smaller than a walk-in closet.,A walk-in closet is larger than a normal closet.,A walk in closet is larger.
6,I like to ride my chocolate,"Chocolate is a food, not a transportation unit",You eat chocolate not ride it,cant ride chocolate
7,A GIRL WON THE RACE WITH HORSE,HORSE RAN FASTER THAN HER,A person is too slow to race a horse.,A horse is much faster than a person.
8,he put elephant into the jug,a jug is so small than an elephant,An elephant won't fit into a jug - they are too big,The jug would break under the weight.
9,A dog plays volleyball,Only humans play volleyball,Dogs don't typically play volleyball.,Only people can play volleyball.
10,Eggs eat kis on Easter.,No egg eat kids.,Eggs don't eat anything at any time,Kids eat eggs on Easter.
11,Mark drank a notebook.,A notebook is a solid and by definition a person can only drink a liquid.,You can't drink paper.,NOTEBOOK IS A OBJECT IT'S NOT A DRINK SO IT CANNOT DRINK
12,He went to the police station to withdraw cash.,Police station is a place to file criminal complaints.,You can't get cash at a police station.,Cash isn't available at the police station
13,An employee can price goods,Only owner could price the goods,It is not usual for an employee to be given this level of responsibility,The employee doesn't have authority to price goods
14,she wear hat in the hand,hat usually wear on the head,A hat is not worn on hands.,Hats are for your head.
15,My cousin throws the house to my brother.,A house is too big to throw.,You cannot throw a house.,A house is too large to throw.
16,Roses buds  eat caterpillars,Caterpillars have mouths while rose buds don't,Rose buds are plants and can't eat animals.,Plants don't eat bugs
17,Lisa played jazz music for Moses of the Old Testament yesterday.,Moses has been dead for a long time and could not have heard a concert yesterday.,Moses isn't alive.,Moses is not alive.
18,the computer broke down and the doctor fixed it,a doctor does not fix computers,Doctors fix people not computers.,"Doctors fix people, not computers"
19,I drank bleach.,Bleach is used for cleaning.,"Usually people don't drink bleach, it's certainly not advised to do so",bleach would kill you if you drank it
20,I usually wear a shoe on my head,Shoe can be worn in feet only,Shoes are worn on feet.,shoes are for feet not heads
21,My brother placed the nuclear reactor inside the box.,Nuclear reactor is way too big to be placed in a box.,A person cannot pick up a nuclear reactor.,A nuclear reactor is too big to fit in a box.
22,She took the chair for a walk,Chairs can't walk,Chair is not use for walk. It is create uncomfortable situation.,A chair isn't alive.
23,A dog roared at a cat in the street.,Roar is not a dog characteristic.,A dog could bark at a cat in the street,dogs don't roar
24,He mowed the carpet,"lawnmowers are for cutting grass, not carpets",He vacuumed the carpet,You don't trim carpets.
25,I drive a bike,A bike is ridden not driven,"You ride a bike, not drive it",You ride a bike.
26,I dress an elephant,An elephant is a wild animal,Elephants do not typically wear clothes,Elephants aren't for dressing up.
27,I cook football very well,A football is thing to play with not a thing to eat,"Footballs are not food, and therefore are not cooked.",You cannot cook a football.
28,Car is a very good mode of water transport,Car is a mode of land of transport,Cars are not good modes of transport,Cars do not float in water.
29,a dog is taken to a pool after getting sick,a pool has no medical attention for animals,A pool doesn't have doctors.,A pool doesn't have medicine to fix the dog.
30,She rode her bike to the moon.,"The store is a reasonable place to ride one's bike, and we cannot ride our bike to outer space or the moon.",This is impossible.,"THERE IS NOT A RODE WAY TO THE MOON, THE BIKE IS COULD NOT MOVE TO THE MOON."
31,A boy shuts down,"A boy can fall asleep, but a boy cannot shut down","Humans don't usually shut down, shut down is typically used to describe technology.",A human being cannot shut down
32,He planted cucumber seeds in the couch.,Cucumbers need the conditions of a garden to grow instead of a couch.,A couch isn't where you plant seeds.,It isn't appropriate to plant things in a couch.
33,I play games on my Gas stove,Gas stove is equipment to cook food,A gas stove is for cooking.,A gas stove is not a toy.
34,Stars read me,Stars has not eyes,stars cannot read,People read the stars and not the other way around.
35,A boy turns off the door,A door can be closed but a door cannot be turned off,A door cannot be turned off.,A door is never on so can't be turned off.
36,He read a very long window King Tut.,"Books have pages and words to read, while windows do not and serve a different purpose.",You can't read a window.,He cannot read a window.
37,He lost his phone in the mouth of a griffin.,A griffin is a mythical creature that does not exist.,Griffin's don't exist and so this is not possible,there is no such thing as a griffin
38,Sara had a glass of petrol,drinking petrol is dangerous to one's life,Sara cannot drink petrol,people don't usually drink petrol
39,he kept a chair inside the fridge,chair is bigger than the fridge,A chair would not fit inside a fridge.,A chair is too big to go in a fridge.
40,I read a tiger,A tiger has not letters on herself,"Tiger is not a book or any sentence, It is living thing.",A tiger cannot be read.
41,I use internet on my radio,Internet can not be used on a radio,You could use the internet to listen to the radio,radio doesn't use internet
42,She drove her children to the moon.,The moon is not reachable by car.,The moon is in space.,The moon is in outer space.
43,She parachuted into the grocery store from a plane.,"If you jumped from a plane to get groceries, you would have no way to get them home.",You can't land inside a store,This is a place you should walk or drive to.
44,The fish swam in the desert.,"A desert has no water, so a fish could not swim there.",A desert is dry and has no water and fish need water to swim,The desert has no water.
45,There was a dead ice creature walking in the snow.,Dead ice creatures do not exist.,Dead things can't walk.,Dead creatures don't walk.
46,I swim under a tap,There are not enough water under a tap to swim,"You swim in pools, seas or rivers usually",I swim in a pool.
47,A person eats mountains,A mountain is much bigger than a person,A mountain isn't edible.,Mountains are not food.
48,Jane saw a giraffe in her purse.,A purse is too small for a giraffe to be in.,The giraffe wouldn't fit.,GIRAFFE IS BIGGER THEN A PURSE SO IT'S NOT POSSIBLE
49,We use book to know the time,A book is used to study,A book does not have the ability to show what time it is.,Books don't tell the time
50,I was playing basketball with a rock,"You need a bouncing objet for playing basketball, and a rock does not bounce",Usually people use a ball of some sort to play basketball,A rock will not bounce
51,Mary took her moth for a walk,it is unusual to keep a moth as a pet,A moth does not walk.,You can't effectively walk an insect.
52,I like to listen colours as I commute,Colours cannot being listened,Colours don't have sound.,Colours don't make sound.
53,I run in the air,Walking is not possible in the air,The air is not solid to run on.,Gravity keeps us on the ground.
54,There was a blonde woman riding a dragon.,Dragons do not exist.,Unfortunately dragons don't exist and so a woman (blonde or otherwise) can't ride them,Dragons aren't real.
55,He ate the book,Book is not a food,Books are not edible,A book is not food.
56,Jake ate artificial mango,Human can't eat artificial made fruits,Artificial mango isn't real food so it's not edible.,"Artificial foods are not,  by definition, the actual foods they emulate."
