falsesent,id,ref
He poured orange juice on his cereal.,0,Orange juice doesn't taste good on cereal.
He poured orange juice on his cereal.,0,Orange juice is poured in a glass.
He poured orange juice on his cereal.,0,Orange juice does not taste good on cereal.
He drinks apple.,1,Apple can not be drunk
He drinks apple.,1,An apple is a whole food and unable to be drunk without being juiced.
He drinks apple.,1,He eats an apple
"Jeff ran 100,000 miles today",2,"100,000 miles is way to long for one person to be able to run in one day."
"Jeff ran 100,000 miles today",2,This is not physically possible to achieve
"Jeff ran 100,000 miles today",2,"No way can someone run 100,000 miles in a day"
I sting a mosquito,3,A human has not stings
I sting a mosquito,3,I do not have a stinger.
I sting a mosquito,3,"mosquitos sting people, not the other way around"
A giraffe is a person.,4,A giraffe is not a human being.
A giraffe is a person.,4,"A giraffe is an animal, not human."
A giraffe is a person.,4,A giraffe is an animal.
A normal closet is larger than a walk-in closet.,5,A person cannot walk into a normal closet because it is smaller than a walk-in closet.
A normal closet is larger than a walk-in closet.,5,A walk-in closet is larger than a normal closet.
A normal closet is larger than a walk-in closet.,5,A walk in closet is larger.
I like to ride my chocolate,6,"Chocolate is a food, not a transportation unit"
I like to ride my chocolate,6,You eat chocolate not ride it
I like to ride my chocolate,6,cant ride chocolate
A GIRL WON THE RACE WITH HORSE,7,HORSE RAN FASTER THAN HER
A GIRL WON THE RACE WITH HORSE,7,A person is too slow to race a horse.
A GIRL WON THE RACE WITH HORSE,7,A horse is much faster than a person.
he put elephant into the jug,8,a jug is so small than an elephant
he put elephant into the jug,8,An elephant won't fit into a jug - they are too big
he put elephant into the jug,8,The jug would break under the weight.
A dog plays volleyball,9,Only humans play volleyball
A dog plays volleyball,9,Dogs don't typically play volleyball.
A dog plays volleyball,9,Only people can play volleyball.
Eggs eat kis on Easter.,10,No egg eat kids.
Eggs eat kis on Easter.,10,Eggs don't eat anything at any time
Eggs eat kis on Easter.,10,Kids eat eggs on Easter.
Mark drank a notebook.,11,A notebook is a solid and by definition a person can only drink a liquid.
Mark drank a notebook.,11,You can't drink paper.
Mark drank a notebook.,11,NOTEBOOK IS A OBJECT IT'S NOT A DRINK SO IT CANNOT DRINK
He went to the police station to withdraw cash.,12,Police station is a place to file criminal complaints.
He went to the police station to withdraw cash.,12,You can't get cash at a police station.
He went to the police station to withdraw cash.,12,Cash isn't available at the police station
An employee can price goods,13,Only owner could price the goods
An employee can price goods,13,It is not usual for an employee to be given this level of responsibility
An employee can price goods,13,The employee doesn't have authority to price goods
she wear hat in the hand,14,hat usually wear on the head
she wear hat in the hand,14,A hat is not worn on hands.
she wear hat in the hand,14,Hats are for your head.
My cousin throws the house to my brother.,15,A house is too big to throw.
My cousin throws the house to my brother.,15,You cannot throw a house.
My cousin throws the house to my brother.,15,A house is too large to throw.
Roses buds  eat caterpillars,16,Caterpillars have mouths while rose buds don't
Roses buds  eat caterpillars,16,Rose buds are plants and can't eat animals.
Roses buds  eat caterpillars,16,Plants don't eat bugs
Lisa played jazz music for Moses of the Old Testament yesterday.,17,Moses has been dead for a long time and could not have heard a concert yesterday.
Lisa played jazz music for Moses of the Old Testament yesterday.,17,Moses isn't alive.
Lisa played jazz music for Moses of the Old Testament yesterday.,17,Moses is not alive.
the computer broke down and the doctor fixed it,18,a doctor does not fix computers
the computer broke down and the doctor fixed it,18,Doctors fix people not computers.
the computer broke down and the doctor fixed it,18,"Doctors fix people, not computers"
I drank bleach.,19,Bleach is used for cleaning.
I drank bleach.,19,"Usually people don't drink bleach, it's certainly not advised to do so"
I drank bleach.,19,bleach would kill you if you drank it
I usually wear a shoe on my head,20,Shoe can be worn in feet only
I usually wear a shoe on my head,20,Shoes are worn on feet.
I usually wear a shoe on my head,20,shoes are for feet not heads
My brother placed the nuclear reactor inside the box.,21,Nuclear reactor is way too big to be placed in a box.
My brother placed the nuclear reactor inside the box.,21,A person cannot pick up a nuclear reactor.
My brother placed the nuclear reactor inside the box.,21,A nuclear reactor is too big to fit in a box.
She took the chair for a walk,22,Chairs can't walk
She took the chair for a walk,22,Chair is not use for walk. It is create uncomfortable situation.
She took the chair for a walk,22,A chair isn't alive.
A dog roared at a cat in the street.,23,Roar is not a dog characteristic.
A dog roared at a cat in the street.,23,A dog could bark at a cat in the street
A dog roared at a cat in the street.,23,dogs don't roar
He mowed the carpet,24,"lawnmowers are for cutting grass, not carpets"
He mowed the carpet,24,He vacuumed the carpet
He mowed the carpet,24,You don't trim carpets.
I drive a bike,25,A bike is ridden not driven
I drive a bike,25,"You ride a bike, not drive it"
I drive a bike,25,You ride a bike.
I dress an elephant,26,An elephant is a wild animal
I dress an elephant,26,Elephants do not typically wear clothes
I dress an elephant,26,Elephants aren't for dressing up.
I cook football very well,27,A football is thing to play with not a thing to eat
I cook football very well,27,"Footballs are not food, and therefore are not cooked."
I cook football very well,27,You cannot cook a football.
Car is a very good mode of water transport,28,Car is a mode of land of transport
Car is a very good mode of water transport,28,Cars are not good modes of transport
Car is a very good mode of water transport,28,Cars do not float in water.
a dog is taken to a pool after getting sick,29,a pool has no medical attention for animals
a dog is taken to a pool after getting sick,29,A pool doesn't have doctors.
a dog is taken to a pool after getting sick,29,A pool doesn't have medicine to fix the dog.
She rode her bike to the moon.,30,"The store is a reasonable place to ride one's bike, and we cannot ride our bike to outer space or the moon."
She rode her bike to the moon.,30,This is impossible.
She rode her bike to the moon.,30,"THERE IS NOT A RODE WAY TO THE MOON, THE BIKE IS COULD NOT MOVE TO THE MOON."
A boy shuts down,31,"A boy can fall asleep, but a boy cannot shut down"
A boy shuts down,31,"Humans don't usually shut down, shut down is typically used to describe technology."
A boy shuts down,31,A human being cannot shut down
He planted cucumber seeds in the couch.,32,Cucumbers need the conditions of a garden to grow instead of a couch.
He planted cucumber seeds in the couch.,32,A couch isn't where you plant seeds.
He planted cucumber seeds in the couch.,32,It isn't appropriate to plant things in a couch.
I play games on my Gas stove,33,Gas stove is equipment to cook food
I play games on my Gas stove,33,A gas stove is for cooking.
I play games on my Gas stove,33,A gas stove is not a toy.
Stars read me,34,Stars has not eyes
Stars read me,34,stars cannot read
Stars read me,34,People read the stars and not the other way around.
A boy turns off the door,35,A door can be closed but a door cannot be turned off
A boy turns off the door,35,A door cannot be turned off.
A boy turns off the door,35,A door is never on so can't be turned off.
He read a very long window King Tut.,36,"Books have pages and words to read, while windows do not and serve a different purpose."
He read a very long window King Tut.,36,You can't read a window.
He read a very long window King Tut.,36,He cannot read a window.
He lost his phone in the mouth of a griffin.,37,A griffin is a mythical creature that does not exist.
He lost his phone in the mouth of a griffin.,37,Griffin's don't exist and so this is not possible
He lost his phone in the mouth of a griffin.,37,there is no such thing as a griffin
Sara had a glass of petrol,38,drinking petrol is dangerous to one's life
Sara had a glass of petrol,38,Sara cannot drink petrol
Sara had a glass of petrol,38,people don't usually drink petrol
he kept a chair inside the fridge,39,chair is bigger than the fridge
he kept a chair inside the fridge,39,A chair would not fit inside a fridge.
he kept a chair inside the fridge,39,A chair is too big to go in a fridge.
I read a tiger,40,A tiger has not letters on herself
I read a tiger,40,"Tiger is not a book or any sentence, It is living thing."
I read a tiger,40,A tiger cannot be read.
