THE MAN  HAS TO EAT STONE IN EVERYDAY.,NO ONEEATS STONES AS FOOD
You are likely to find a roof in a garage,Roof cannot found in the garage.
The water in the pond eventually converges to the sea.,Ponds do not connect to the sea.
Animals can photosynthesize,Only plants can photosynthesize.
I used cement to stick the papers,cement is for buildings not paper
the administrator cleared her throat because the meeting was postponed,people clear their throats when they are going to make an important speech
I put a car in the oven,A car cannot fit in an oven.
Do not wash your hands before eating,"Hands are germy, so wash your hands before eating"
tiger is eating vegetables,Vegetable is a thing that cannot eat by the tiger.
He puts on a helmet to listen to music,Helmets do not play music.
language remains unchanged as time goes by,Language changes over time.
Motor oil is good on salads.,Motor oil is not a salad topping.
i just stayed at sky most of the time to read and relax,sky is not a place to stay
He told her a sad story to cheer her up.,People aren't likely to be cheered up by a sad story.
He sat on the table.,Tables are not for sitting on.
I don't feel hungry any more after a nap,a nap can't make you full
Air is not important to human beings.,Without air humans couldn't breath
A driver's license is required for calling cards now.,The driver's license cannot handle the phone card.
Tom made a lot of friends because he was very introverted.,Introverted people find it hard to make friends
The driver suddenly accelerate since there is a girl on the road,"Drivers avoid crash by braking, not by accelerating"
There are never any Sundays in July,There are several weeks in a month and Sundays in every week
"If it rains, everyone gets milk",Milk doesn't fall from the sky when it rains.
"she's asleep, we should keep noisy",One cannot sleep in a noisy atmosphere.
Staying up late is helpful for our health.,Getting good sleep is a staple of good health.
lewis was having an affair with his girlfriend,You can't have an affair with someone if you are already in a relationship with them.
teacher teaches lessons by her nose,You can't teach with your nose
The first thing you do when doing laundry is to throw it in a puddle.,You don't make clean clothes dirty.
melatonin would make you want to socialize,Melatonin makes you sleepy
The family ate a table at the party.,Tables are not edible.
I put soda into my car today.,Soda can not be put in the tank of a car.
Jack works at a garage as a waiter,garage have only mechanic
"Everyone at the party had a drink, but some of them did not.",Everyone cannot have had a drink if some did not.
he went to the kitchen because he felt sleepy,kitchen doesn't have sleep equipment
About fifty people get in to a car,a car cannot accommodate more than five people
I hurried to the ticket window to sell two tickets,You buy tickets at a ticket window.
"The floor was completely dry, and she slipped in a puddle",The floor is not completely dry if there is a puddle on it
Golf is a violent sport.,There is no bodily contact in golf.
Icecream is baked in an Oven.,Icecream is frozen not baked.
He danced on the spoon,A spoon is too small to dance on.
The cat gets some gold.,Gold is not food.
Leopards are decomposers,Leopards leave caucuses to decompose after they are done eating the flesh and meat from it's prey.
I like flying kites in my bedroom.,There is not enough room or wind to fly a kite in a bedroom
crush injuries made him strong.,ususlly people don't get strong from crush injuries.
