id,FalseSent,ref1,ref2,ref3
1,he put an elephant into the fridge,an elephant is much bigger than a fridge,Elephants cannot fit in fridges,An elephant is the largest land mammal so he's not going to fit into a fridge let alone probably not going to fit in the kitchen.
2,my sister eats a stone after breakfast every day,no one eats stones,No person eats stones for breakfast,the stone is not edible
3,money can be used for buying stars,no one can get stars and sell them now,Money can not buy ownership to celestial matter.,Stars are not owned by anyone.  they are people saying to can own stars but they are dirty rotten scoundrels appeasing to people's emotions. Stars cannot be touched. You can't really own a star.
4,USA is located in the northeastern part of New York,USA is a nation while New York is its city,New York is a state within the USA,Usa is a country and new york is a city so it's impossible to find usa inside New york
5,a man can better see stars and the moon in daytime,the sun is much brighter than the moon and stars in the day time,starts and the moon are not visible at daytime,stars don't show up during the day
6,he was sent to a restaurant for treatment after a car crash,a restaurant does not have doctors or medical equipment,restaurant do not have doctors for treatment,You go to the hospital instead of a restaurant.
7,his mother became angry after he got good grades in the math exam,parents are always happy to see their children get good grades,"Good grades are a sign that a student is learning math well, which leads to feelings of happiness and being proud.",People don't get angry over good grades.
8,cans are usually made of gold,gold is too expensive to make cans,Cans are usually made of aluminum.,cans are usually made of tin
9,I put my desktop into my suitcase before departure,suitcases are not big enough for a desktop,desktop is too big for a suitcase,because you arent allowed to put yout desktop in your suitcase
10,I walk to the Moon,the Moon is to far to walk to,"Moon is not on Earth, it's very far from Earth ,to reach on Moon on need special type rocket or something like that ,and it is very costly ,general person can't afford it.",You cannot walk to other interstellar objects.
11,I work 25 hours a day,a day only has 24 hours,There's only 24 hours in a day.,there are only 24 hours in a day
12,I'm hungry for water,Water is used to quench thirsty,"You are thirsty for water, not hungry.",water is not food
13,this basket can hold one gallon of water,baskets cannot hold water,baskets don't hold water,A basket cannot hold liquid.
14,this man can jump across a mountain easily,a mountain is too big for a man to jump across,A person cannot jump that far.,Humans were designed to not jump that for nor high.
15,I put the rubbish into a mailbox,"Rubbish should be thrown into a trash can, rather than a mailbox",Rubbish does not belong in a mailbox.,It should go in the trash
16,most children hate candies,candies are sweet and children love sweet things,Children enjoy candy.,Children are fond of sweets.
17,most people become wiser after drinking a lot alcohol,the alcohol makes drinker stupid,alcohol clouds the mind,nobody becomes wiser after alcohol
18,a salad usually contains grass,human do not eat grass,Grass is not found in anytime type of salad.,grass is not a food
19,computers are everywhere in a forest,computers are not plants,"A forest is made up of trees and natural phenomena, not technology.",there's no electricity in a forest
20,my family used to watch radio together after dinner,radios cannot be watched but only listened to,Watch radio doesn't show time,"radio doesn't support video ,it only supports audio."
21,I became sleepy after a whole day starvation,starvation makes a man feel hungry rather than sleepy,when people starve they become hungry,You would be hungry not sleepy
22,he cured after taking poisons,"suicide leads to death, rather than cure",Poison does not heal.,Poison makes you sick.
23,I changed my car when passing a crossroads,we do not need change cars when passing a crossroads,there was nowhere for me to pull over to change my car,"There's no reasonable explanation for changing a car when out and about. There's no changes you could do to your own car while driving. If by ""changing cars,"" you mean transferring to a new, different vehicle, that doesn't make any sense either. Many people only have access to one car, and they wouldn't pragmatically be able to swap vehicles when out and about, like passing a crossroads. It's just silly."
24,I had a sweet dream when I was awake yesterday,people dream only when they sleep,"dream can't been seen while you are waking ,when you sleep then only dreams come.",dreams don't come when awake
25,my dad grows a tin of cola everyday,cola is produced in the factory rather in the farm,"cola is a man made product , so it can't be grow.","Cola is made, not grown."
26,Alice became joyful after felt left out by her friends,feeling left out makes a person unhappy,Most people would feel sad instead.,Alice is sad if left out by friends
27,Bob played hard to prepare for the examination,playing would not help the preparation for an examination,theres no playing hard for examination,You would have to study hard.
28,I was humiliated by him so I had better friendship with him,humiliation makes a person feel angry and hostile instead of friendly,there should be no humiliation in friendship,Friends would not humiliate each other.
29,I cooked my meal at the restaurant,I do not need cook food at restaurant,you go to the restaurant specifically for not cooking,"The restaurants cook the meal for you.""HITId"
30,Bob loves to play tennis at the sports store,there is no tennis court in sports stores,tennis could be played on a tennis court,The sports store contains only the sports things.
31,I love eating seafood so I love eating chicken,chicken is not seafood,Chicken isn't a sea food.,Chicken is not a seafood.
32,I am short so I have an advantage in basketball,tall guys can usually play basketball better,Tall people have an advantage in basketball.,I am short so I have an disadvantage in basketball
33,mother sings a rock-and-roll to send her baby asleep,rock-and-roll is too noisy to make people asleep,rock-and-roll would not send a baby to sleep,Rock-and-roll is not sleepy music.
34,this apple is a beautiful light blue color,we have not discovered blue apples yet,Apples are never blue,Apples are green or red.
35,i call my mum with a drum,nobody makes a call with a drum,A drum makes music and isn't something you could call anyone on,"I can call my mom with a phone, not a drum."
36,i like drinking mercury after dinner,mercury is poisonous,Drinking mercury is fatal for human beings.,to make digestive they may drink mercury after dinner
37,i put a bar of soap on a birthday cake,a bar of soap can only ruin the cake,Birthday cake will be dirty if I put a bar of soap on a birthday cake.,i put a candy of on a birthday cake
38,plastic is the main ingredient in candy,plastic is not eatable,Sugar is the main ingredient in candy.,Candy is edible and does not contain plastic.
39,he put some soy sauce to make the robot taste better,nobody eats robots,Robots are not edible.,You do not cook a robot.
40,he is drunk soon after drinking some water,drinking water can't get people drunk,Water does not have any alcoholic content for a person to get drunk.,Drinking water will not make a drunken.
41,walking is an expensive hobby,walking costs almost nothing except shoes,Walking is a free hobby.,Walking does not cost money.
42,managers greet with each other and begin to bark,only dogs bark when they meet,Dogs bark; managers do not.,Managers are not dogs and cannot bark.
43,teachers teach sports with a globe,we don't learn mountains or countries during sport classes,to knowledge their student,Globe is used to know about the world.
44,a funeral is a place for laughter,it is impolite to laugh at a funeral,Funeral is a place for grieving.,a funeral is not a place for laughter
45,children have fun in the cemetery,cemetery is a place of sadness rather than fun,Children have fun on the playground.,A cemetery isn't a place of fun.
46,Mary eats at a restaurant to do the dishes,restaurants don't need customers to do the dishes themselves,she like the  restaurant food,Mary eats at a restaurant to fill her stomach.
47,wool is a form of eating material,people don't eat wool,Wool isn't eaten.,wool is a form of don't eating material
48,mum is cooking a delicious meal in the bedroom,a bedroom is used for relaxing rather than cooking,Meals are prepared in kitchens.,Cooking is done in the kitchen. Bedroom is a place to get rest.
49,cars on the railway multiply during holidays,a railway is built for trains not cars,"Cars drive on roadways, not railways.",Cars does not ride on a railway but on the road.
50,beef cooked on the drill tastes delicious,a drill is not a cooker,drills are used for drilling a hard material,a grill is for cooking food
51,Jerry takes a tissue from the rolodex to keep in touch with Tom,tissues don't have telephone numbers on them,A rolodex does not contain tissues.,A rolodex does not hold tissue.
52,pictures can be kept on films eternally,films can easily be damaged thus ruin the picture,a film can get damaged,Pictures are not stored on films.
53,we use a penknife to cut wood,using a penknife to cut wood is a waste of time and strength,A penknife is too weak and inefficient for wood cutting.,penknife is not sharp enough to cut wood
54,human beings can travel to the moon by bus,moon is unreachable by bus,human beings can travel to the moon by rocket,Humans can only travel to the moon by spacecraft.
55,she is sad to play with her friends,meeting friends is a positive experience,Playing with friends brings people happiness.,Playing with friends makes people happy.
56,smartphones nowadays are huge,smartphones of huge size go against the rule of convenience,"Smartphones are normally made small enough to fit into your pocket, so that are not that big.",huge phones are tabs
57,we took television sets to commemorate important days,television sets do not serve as a souvenir,"Television is an audio video device,not to commemorate important days.",we can take information of important days by watching television
58,i park my car in the living room,it is impossible to park a car in the living room,Car can be parked on the parking area.,it may be a playing car(small car which kids uses)
59,he turns on the light to listen to music,light does not broadcasting music,Turning light we cant listen music we can get only light,
60,Lily opened the wall to let some fresh air in,you don't have to break a wall for aeration,You just need to open the window to let air in.,A window must be opened for fresh air.
61,a giant panda is a black and white bird found in Asia,a giant panda is a viviparous species,"PANDA IS A BEAR, NOT A PASSADOR",panda is a bear family beast
62,people put on summer dresses when winter comes,summer dresses are too cold to wear in winter,"A summer dress is made of thin material and may not have sleeves so that it helps keep us cool, which would not be suitable for cold winter months.",
63,smoking is good for health,smoking does harm to langs and many other organs,Smoking is one of the worst habits for health,smoking is bad for health
64,a power socket has a copper housing for safety,copper can cause life-threatening electric leakage,Copper conducts electricity so this would be a fire hazard,A copper conducts electric current and can shock you when they are live so they cannot be for safety.
65,it takes him an hour to tear himself apart,nobody can tear himself up alive,He can't physically tear himself apart because he's made of skin and bones.,People don't tear themselves apart.
66,i rip a letter to tell her i am fine,a letter in pieces cannot carry a message,If you rip a letter i will never reach to person you want to send.,Ripping letters is not a normal way convey good emotion.
67,a dining room is a place where people sleep,people sleep in a bedroom,People sleep in bedrooms.,No dining room is only eating
68,he breaks the iron board with a bare hand,iron is too hard to even be bent by an unarmed human,You need something stronger than your bare hands to break something like an iron board.,Bare hands are so soft .
69,supermarkets rise prices for a year-end clearance,supermarkets want to attract more customers in the year-end,clearance are for price reduction,In supermarkets year end clearance at low prices.
70,the farm is destroyed by a tomato,tomatoes are not threatening plants for a farm,The farm would be destroyed by a tornado.,A tomato can't destroy a farm.
71,he is so famous that nobody has heard of him,to be famous is to be known by many people,famous people are known by every one,IF HE IS SO FAMOUS EVERYONE SHOULD HEAR TO TALK ABOUT HIM
72,i like her songs because she is a good cook,singers can usually sing better,"Because she is not cook , she is a singer",A good cook may be a good singer also
73,there are many trees in the pond,trees don't grow in the pond,What are the best trees to plant around a pond,there are many plant in the pond
74,the moon is a planet of the solar system,the moon is the earth's natural satellite,"The moon is a natural satellite that orbits the earth, not a planet.",The moon is the fifth-largest natural satellite in the Solar System
75,we stopped at the power plant because we needed gasoline,power plants don't provide gasoline,Power plant does not have gasoline.,a power plant does not sell gasoline
76,Lily goes to the cinema to listen to a concert,a cinema is not equipped for concerts,In cinema they wont have concert,Concerts do not take place in movie theaters.
77,centigrade is a measure of acidity,acidity is usually measured by PH value,Centigrade is a measure of temperature.,Centigrade is not a measurement of acidity.
78,the ancients used a satellite as a guidance,satellites are contemporary inventions,satellite is used by modern people,the ancients not used a satellite as a guidance
79,the fire was caused by a glass of water,water puts out fire instead of causing it,the fire was  not a caused by a glass of water,"Water does not cause fires, helps turn them off"
80,December is the 13th month of a year,there are only 12 months in a year,There are only 12 months in a year.,December is the 12th and last month of the year.
81,a prince is a piece used in the game of chess,no pieces are named after a prince,game of chess doesn't have prince,The game chess has no piece named prince.
82,maid is an important member of a family,a maid is a woman hired and working for a family,"The maid is a member of staff, not a member of the family","A maid is an employee, not a family member."
83,he opens the door with a lock,a lock can only keep the door firmly closed,Key is used to open the door,he opens the door with a key
84,a sea is a large body of sweet water,no sea water tastes sweet,"The sea contains salt, which is not sweet.",sea water is salty
85,a rooster can lay eggs,male chicken doesn't lay eggs due to its biological structure,Rooster do not lay eggs.,Roosters are male and cannot lay eggs.
86,farmers are growing mushrooms under the sun,fungi prefer darkness and humidity better than sunshine,How much can a mushroom farmer make,mushrooms cannot be grown in direct sun
87,Tom buys his girlfriend a bunch of carnations on Valentine's Day,carnations are mostly used on Mother's Day,He should buy her roses for Valentine's Day.,"Bunch of carnations is wrong, it should be bunch of flowers."
88,soup is best eaten with a fork,it is impossible to ladle soup with a fork,noodles only eaten fork,soup is best eaten with a fork
89,there are many fishes in the desert,fishes live in the water rather than sand,Fish can only live in water.,Fish live in water; the desert is dry and thus home to no fish.
90,i fly to Paris to see the Statue of Liberty,the Statue of Liberty stands on an island in New York harbor,Statue of Liberty is in America,The Statue of Liberty is not in Paris; it stands on Liberty Island in New York.
91,nissan is a foreign plane manufacturer,nissan is an automobile manufacturer and sells cars,Nissan is a car manufacturer.,Nissan makes cars.
92,food is stored in the pan,a pan is used for heating not for storage,food can be stored in fridge not in pan,a pan is for cooking food
93,the image of the cat seems to be reflected many times in the glass,normal glasses cannot reflect lights,glass can't reflect an object,may be cats moving around the glass
94,she goes traveling on weekdays,weekdays are days where people have to work,"Most people work on weekdays, so are not free to travel",People usually travel on weekends.
95,laughter is a sign of sorrow,people laugh when they are happy,Laughter is a sign of happiness.,Laughter is a sign of happiness.
96,Mary sits at the closet and begins reading,a closet is used for storing things,usually reading can done only at a study table,People don't sit at the closet.
97,Jim practices running on the bed every morning,bed is not suitable for running,Running practice can be done on the road.,jim will practices running after getting up from bed
98,he climbs up the mountain with the help of a ribbon,a ribbon is not firm enough and can only be used as decorations,ribbons are very weak to climb with,Strong ropes iron cliffscare used to climb mountians
99,he opens a storybook and begins to cook,cooking has nothing to do with stories,cusine books and receipes are needed for cooking,We read storybook
100,i put some chili powder to create a sweet flavor,chili powder tastes spicy rather than sweet,A chili powder is hot and cannot create a sweet flavor.,i don't put some chili powder to create a sweet flavor
101,Bob looks up a word in a shopping list,shopping lists don't tell the meaning of words,"A dictionary is used for looking up the spelling and meaning of words, not a shopping list.",SHOPPING LIST BOB LOOKS UP MISSING WORD
102,she begins working for relaxation,working can't make people feel relaxed,work is not usually relaxing,SHE BEGINS WORKING FOR EARNING TO MONEY
103,people usually work on Sundays,Sunday is part of a weekend which is conventionally seen as a holiday,Sunday is a holiday.,people usually not  work on Sundays
104,Santa Claus pretends to be a parent to give children presents,Santa Claus does not exist in reality,they children can't the parent so gift   the santa claus,Santa claus will provide gifts to all without pretends.
105,he sells something to eat to the convenient store,convenient store sell things to customers rather than buy from them,He buys something to eat from the convenience store.,"Convenient stores sell, they do not buy from consumers."
106,he killed the driver to thank him for a free ride,killing people is not the right way to express gratitude,We use pleasing words for thanking,He tipped the driver to thank him for a free ride.
107,she feels ill and goes to see a teacher,teachers don't know how to treat illness,A teacher does not cure illnesses but doctors.,You would see a doctor not a teacher.
108,i buy a CD to listen to the latest advertisements,a CD is usually made to record songs,You buy CD to listen to latest music.,I buy a CD to listen to music.
