falsesent,id,ref
he put an elephant into the fridge,1,an elephant is much bigger than a fridge
he put an elephant into the fridge,1,Elephants cannot fit in fridges
he put an elephant into the fridge,1,An elephant is the largest land mammal so he's not going to fit into a fridge let alone probably not going to fit in the kitchen.
my sister eats a stone after breakfast every day,2,no one eats stones
my sister eats a stone after breakfast every day,2,No person eats stones for breakfast
my sister eats a stone after breakfast every day,2,the stone is not edible
money can be used for buying stars,3,no one can get stars and sell them now
money can be used for buying stars,3,Money can not buy ownership to celestial matter.
money can be used for buying stars,3,Stars are not owned by anyone.  they are people saying to can own stars but they are dirty rotten scoundrels appeasing to people's emotions. Stars cannot be touched. You can't really own a star.
USA is located in the northeastern part of New York,4,USA is a nation while New York is its city
USA is located in the northeastern part of New York,4,New York is a state within the USA
USA is located in the northeastern part of New York,4,Usa is a country and new york is a city so it's impossible to find usa inside New york
a man can better see stars and the moon in daytime,5,the sun is much brighter than the moon and stars in the day time
a man can better see stars and the moon in daytime,5,starts and the moon are not visible at daytime
a man can better see stars and the moon in daytime,5,stars don't show up during the day
he was sent to a restaurant for treatment after a car crash,6,a restaurant does not have doctors or medical equipment
he was sent to a restaurant for treatment after a car crash,6,restaurant do not have doctors for treatment
he was sent to a restaurant for treatment after a car crash,6,You go to the hospital instead of a restaurant.
his mother became angry after he got good grades in the math exam,7,parents are always happy to see their children get good grades
his mother became angry after he got good grades in the math exam,7,"Good grades are a sign that a student is learning math well, which leads to feelings of happiness and being proud."
his mother became angry after he got good grades in the math exam,7,People don't get angry over good grades.
cans are usually made of gold,8,gold is too expensive to make cans
cans are usually made of gold,8,Cans are usually made of aluminum.
cans are usually made of gold,8,cans are usually made of tin
I put my desktop into my suitcase before departure,9,suitcases are not big enough for a desktop
I put my desktop into my suitcase before departure,9,desktop is too big for a suitcase
I put my desktop into my suitcase before departure,9,because you arent allowed to put yout desktop in your suitcase
I walk to the Moon,10,the Moon is to far to walk to
I walk to the Moon,10,"Moon is not on Earth, it's very far from Earth ,to reach on Moon on need special type rocket or something like that ,and it is very costly ,general person can't afford it."
I walk to the Moon,10,You cannot walk to other interstellar objects.
I work 25 hours a day,11,a day only has 24 hours
I work 25 hours a day,11,There's only 24 hours in a day.
I work 25 hours a day,11,there are only 24 hours in a day
I'm hungry for water,12,Water is used to quench thirsty
I'm hungry for water,12,"You are thirsty for water, not hungry."
I'm hungry for water,12,water is not food
this basket can hold one gallon of water,13,baskets cannot hold water
this basket can hold one gallon of water,13,baskets don't hold water
this basket can hold one gallon of water,13,A basket cannot hold liquid.
this man can jump across a mountain easily,14,a mountain is too big for a man to jump across
this man can jump across a mountain easily,14,A person cannot jump that far.
this man can jump across a mountain easily,14,Humans were designed to not jump that for nor high.
I put the rubbish into a mailbox,15,"Rubbish should be thrown into a trash can, rather than a mailbox"
I put the rubbish into a mailbox,15,Rubbish does not belong in a mailbox.
I put the rubbish into a mailbox,15,It should go in the trash
most children hate candies,16,candies are sweet and children love sweet things
most children hate candies,16,Children enjoy candy.
most children hate candies,16,Children are fond of sweets.
most people become wiser after drinking a lot alcohol,17,the alcohol makes drinker stupid
most people become wiser after drinking a lot alcohol,17,alcohol clouds the mind
