id,FalseSent,OptionA,OptionB,OptionC,label
1,he put an elephant into the fridge,an elephant is much bigger than a fridge,elephants are usually gray while fridges are usually white,an elephant cannot eat a fridge,A
2,my sister eats a stone after breakfast every day,stone is usually in round-shapes,no one eats stones,stone is too large for a girl's mouth,B
3,money can be used for buying stars,no one can get stars and sell them now,stars can be only seen in cloudless dark night,stars are too expensive for normal people,A
4,USA is located in the northeastern part of New York,New York is not the capital of USA,USA is a nation while New York is its ally,USA is a nation while New York is its city,C
5,a man can better see stars and the moon in daytime,the sun is much brighter than the moon and stars in the day time,the moon is much closer to the earth than the sun,the sun moves faster than the moon and stars,A
6,he was sent to a restaurant for treatment after a car crash,a restaurant does not have doctors or medical equipment,a restaurant is usually too noisy for a patient,there are different types of restaurants in the city,A
7,his mother became angry after he got good grades in the math exam,his mother wanted to take the exam herself,parents are always happy to see their children get good grades,his mother seldom used math in her daily time,B
8,cans are usually made of gold,gold is too expensive to make cans,gold is too bright to make cans,gold is too soft to make cans,A
9,I put my desktop into my suitcase before departure,I do not need my desktop anymore,suitcases are not big enough for a desktop,suitcases can only filled with clothes,B
10,I walk to the Moon,I don't know where the Moon is,the Moon's gravity is relatively small,the Moon is to far to walk to,C
11,I work 25 hours a day,I don't like stay up late,a day only has 24 hours,I'm too lazy to work,B
12,I'm hungry for water,I'm not that hungry,Water is necessary for our daily lives,Water is used to quench thirsty,C
13,this basket can hold one gallon of water,the basket is too small,baskets cannot hold water,baskets are made of wood,B
14,this man can jump across a mountain easily,this man cannot jump very far,this man lives in the mountain,a mountain is too big for a man to jump across,C
15,I put the rubbish into a mailbox,I do not want to deliver the rubbish,"Rubbish should be thrown into a trash can, rather than a mailbox",a mailbox is not big enough for any rubbish,B
16,most children hate candies,candies are sweet and children love sweet things,candies are bitter and children love bitter things,children are not allowed to eat candies freely by their parents,A
17,most people become wiser after drinking a lot alcohol,most drinkers do not drink enough alcohol,most people do not need alcohol to become wise,the alcohol makes drinker stupid,C
18,a salad usually contains grass,grass cannot be bought everywhere,human do not eat grass,only some salads contain grass,B
19,computers are everywhere in a forest,computers can shine while trees cannot,computers grow more slowly than trees,computers are not plants,C
20,my family used to watch radio together after dinner,radios are not interesting as TVs,radios are not big enough for a whole family,radios cannot be watched but only listened to,C
21,I became sleepy after a whole day starvation,starvation makes a man feel hungry rather than sleepy,I had slept too much,a whole day starvation was not enough,A
22,he cured after taking poisons,"suicide leads to death, rather than cure",some drugs may also be poisonous,he might be salvaged by doctors,A
23,I changed my car when passing a crossroads,we do not need change cars when passing a crossroads,cars intersect in a crossroads,changing cars in a crossroads is dangerous,A
24,I had a sweet dream when I was awake yesterday,people dream only when they sleep,I might have a nightmare then,being awake is not a sweet thing for me,A
25,my dad grows a tin of cola everyday,growing cola is not easy for my dad,cola is produced in the factory rather in the farm,only bottled cola can grow in farms,B
26,Alice became joyful after felt left out by her friends,feeling left out makes a person happy,feeling left out makes a person unhappy,joyful people will not feel left out,B
27,Bob played hard to prepare for the examination,some students never prepare for examinations,playing would not help the preparation for an examination,Bob might be unwished to prepare for the examination,B
28,I was humiliated by him so I had better friendship with him,the humiliation would only hurt others instead of me,humiliation makes a person feel angry and hostile instead of friendly,he and I were friends before the humiliation,B
29,I cooked my meal at the restaurant,there are not enough cookers in the restaurant,I do not cook well at the restaurant,I do not need cook food at restaurant,C
30,Bob loves to play tennis at the sports store,there is no tennis court in sports stores,sports stores sell tennis and racquets,tennis lovers never present in sports stores,A
31,I love eating seafood so I love eating chicken,people cannot love seafood and chicken at the same time,chicken is not seafood,some people love seafood and chicken,B
32,I am short so I have an advantage in basketball,many short guys also like basketball,short guys never play basketball,tall guys can usually play basketball better,C
33,mother sings a rock-and-roll to send her baby asleep,rock-and-roll is too noisy to make people asleep,mother can't sing rock-and-roll well,the rock-and-roll song is not long enough,A
34,this apple is a beautiful light blue color,we have not discovered blue apples yet,this apple tastes sour,this apple grows in the sea,A
35,i call my mum with a drum,nobody makes a call with a drum,drums can make a sound,i like drums a lot,A
36,i like drinking mercury after dinner,mercury is good for health,i don't feel thirsty after dinner,mercury is poisonous,C
37,i put a bar of soap on a birthday cake,a bar of soap can only ruin the cake,i want to wash the cake first,soap smells good,A
38,plastic is the main ingredient in candy,plastic is not eatable,plastic is too hard to chew,plastic is too expensive to be made into candy,A
39,he put some soy sauce to make the robot taste better,nobody eats robots,the robot is not salty enough,the robot has not been cut into slices yet,A
40,he is drunk soon after drinking some water,he cannot drink water,drinking water can't get people drunk,water is alcoholic,B
41,walking is an expensive hobby,walking is good for human's health,walking costs almost nothing except shoes,we walk every day,B
42,managers greet with each other and begin to bark,managers like dogs a lot,only dogs bark when they meet,managers can only be heard through barking,B
43,teachers teach sports with a globe,a globe is a ball with different colors,we don't learn mountains or countries during sport classes,we don't have enough globes for sport classes,B
44,a funeral is a place for laughter,others will be jealous of your happiness,it is impolite to laugh at a funeral,a funeral is too quiet to laugh out loud,B
45,children have fun in the cemetery,few people come to the cemetery,cemetery is a place of sadness rather than fun,children can play with ghosts,B
46,Mary eats at a restaurant to do the dishes,the restaurant will pay Mary for doing the dishes,restaurants don't need customers to do the dishes themselves,Mary enjoys doing the dishes,B
47,wool is a form of eating material,wool grows on sheep,wool does not taste good enough,people don't eat wool,C
48,mum is cooking a delicious meal in the bedroom,the bedroom smells too good to sleep after cooking,a bedroom is used for relaxing rather than cooking,mum can't cook meals outside the bedroom,B
49,cars on the railway multiply during holidays,traffic jams do not take place on railways,more people go on a vacation by car,a railway is built for trains not cars,C
50,beef cooked on the drill tastes delicious,a drill is very sharp,the beef is well preserved,a drill is not a cooker,C
51,Jerry takes a tissue from the rolodex to keep in touch with Tom,a tissue is a piece of paper,Jerry appreciates the tissue a lot,tissues don't have telephone numbers on them,C
52,pictures can be kept on films eternally,films are the only way to save pictures,films are easy to carry,films can easily be damaged thus ruin the picture,C
53,we use a penknife to cut wood,a penknife can be folded,using a penknife to cut wood is a waste of time and strength,a penknife is harder than wood,B
54,human beings can travel to the moon by bus,moon is unreachable by bus,a bus can carry lots of people,buses are easy to manufacture,A
55,she is sad to play with her friends,her friends admire her,she does not like playing,meeting friends is a positive experience,C
56,smartphones nowadays are huge,smartphones are smarter than we think,smartphones nowadays contain enormous functions,smartphones of huge size go against the rule of convenience,C
57,we took television sets to commemorate important days,television sets do not serve as a souvenir,television sets too expensive to take each time,television sets look all the same,A
58,i park my car in the living room,my car would be easily stolen,the living room is not big enough for my car,it is impossible to park a car in the living room,C
59,he turns on the light to listen to music,light does not broadcasting music,he finds it dark inside the room,light spreads faster than sound,A
60,Lily opened the wall to let some fresh air in,fresh air needs a lot of space,Lily has to open two walls to keep air fresh,you don't have to break a wall for aeration,C
61,a giant panda is a black and white bird found in Asia,a giant panda doesn't like flying,a giant panda is too heavy to be seen as a bird,a giant panda is a viviparous species,C
62,people put on summer dresses when winter comes,summer dresses are too cold to wear in winter,people love wearing summer dresses,it is getting warmer in winter,A
63,smoking is good for health,smoking makes people relaxed,smoking does harm to langs and many other organs,many people smoke,B
64,a power socket has a copper housing for safety,copper is too expensive for massive use,copper can cause life-threatening electric leakage,copper does not rust easily,B
65,it takes him an hour to tear himself apart,he is not strong enough,it is too painful that one hour is not enough,nobody can tear himself up alive,C
66,i rip a letter to tell her i am fine,a letter in pieces cannot carry a message,she does not care about me,ripped letters represent a message of safety,A
67,a dining room is a place where people sleep,people can eat and sleep in the same time,people sleep in a bedroom,sleeping takes a lot of time,B
68,he breaks the iron board with a bare hand,iron is too hard to even be bent by an unarmed human,the iron board is too small to be broken,he does not have a weapon,A
